Metric,Comparison,Control flies (n),Dosed flies (n),Control mean,Dosed mean,Difference,Change (%),95% CI of difference,Result
Number of turns,0.5 uM vs control - July,745,613,523.1,656.0,133.0,25.4,[100.4 to 164.5],differs
Number of turns,1 uM vs control - Oct/Nov lights on,392,392,448.0,366.7,-81.3,-18.2,[-122.2 to -40.0],differs
Number of turns,1 uM vs control - Oct/Nov lights off,392,392,767.1,670.3,-96.9,-12.6,[-149.7 to -42.7],differs
Distance (mm),0.5 uM vs control - July,735,597,21344.0,26434.0,5090.0,23.8,[4019 to 6146],differs
Distance (mm),1 uM vs control - Oct/Nov lights on,382,386,24189.0,18868.0,-5321.0,-22.0,[-6818 to -3810],differs
Distance (mm),1 uM vs control - Oct/Nov lights off,381,384,38066.0,33061.0,-5004.0,-13.1,[-6934 to -3037],differs
Turn bias,0.5 uM vs control - July,705,582,0.4982,0.4973,-0.001,-0.2,[-0.0143 to 0.0121],no difference detected
Turn bias,1 uM vs control - Oct/Nov lights on,357,346,0.5007,0.4944,-0.0063,-1.3,[-0.0236 to 0.0116],no difference detected
Turn bias,1 uM vs control - Oct/Nov lights off,365,367,0.4911,0.5034,0.0124,2.5,[-0.0035 to 0.0276],no difference detected
Switchiness,0.5 uM vs control - July,705,582,0.9499,0.9463,-0.0036,-0.4,[-0.0157 to 0.0084],no difference detected
Switchiness,1 uM vs control - Oct/Nov lights on,357,346,0.9374,0.9371,-0.0002,-0.0,[-0.0206 to 0.0204],no difference detected
Switchiness,1 uM vs control - Oct/Nov lights off,365,367,0.8964,0.8873,-0.009,-1.0,[-0.0246 to 0.0068],no difference detected
Clumpiness,0.5 uM vs control - July,705,582,1.396,1.107,-0.289,-20.7,[-0.436 to -0.138],differs
Clumpiness,1 uM vs control - Oct/Nov lights on,357,346,1.455,2.265,0.81,55.7,[0.584 to 1.040],differs
Clumpiness,1 uM vs control - Oct/Nov lights off,365,367,0.941,1.33,0.389,41.3,[0.172 to 0.623],differs
